
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:16:23  9.14   0.09   0.04   4.398  7.56    25.6   7.7   9.69
12/01/18 01:16:24  9.14   0.09   0.04   4.421  7.56    25.7   7.4   9.69
12/01/18 01:16:25  9.14   0.09   0.04   4.435  7.56    25.8   7.1   9.68
12/01/18 01:16:26  9.14   0.09   0.04   4.454  7.56    26.0   6.9   9.69
12/01/18 01:16:27  9.13   0.09   0.04   4.473  7.56    26.1   6.6   9.69
12/01/18 01:16:28  9.13   0.09   0.04   4.493  7.56    26.2   6.4   9.69
12/01/18 01:16:29  9.13   0.09   0.04   4.510  7.56    26.3   6.2   9.70
12/01/18 01:16:30  9.13   0.09   0.04   4.534  7.56    26.4   6.1   9.70
12/01/18 01:16:31  9.12   0.09   0.04   4.552  7.56    26.4   6.0   9.69
12/01/18 01:16:32  9.12   0.09   0.04   4.569  7.56    26.5   6.0   9.70
12/01/18 01:16:33  9.12   0.09   0.04   4.591  7.55    26.5   6.1   9.70
12/01/18 01:16:34  9.11   0.09   0.04   4.609  7.55    26.5   6.2   9.70
12/01/18 01:16:35  9.11   0.09   0.04   4.628  7.55    26.5   6.3   9.71
12/01/18 01:16:36  9.11   0.09   0.04   4.648  7.55    26.5   6.5   9.72
12/01/18 01:16:37  9.11   0.09   0.04   4.668  7.55    26.5   6.6   9.72
12/01/18 01:16:38  9.11   0.09   0.04   4.687  7.55    26.5   6.8   9.72
12/01/18 01:16:39  9.11   0.09   0.04   4.707  7.55    26.6   6.9   9.72
12/01/18 01:16:40  9.12   0.09   0.04   4.727  7.55    26.6   7.0   9.72
12/01/18 01:16:41  9.12   0.09   0.04   4.744  7.55    26.7   7.0   9.71
12/01/18 01:16:42  9.11   0.09   0.04   4.767  7.55    26.8   7.1   9.71
12/01/18 01:16:43  9.10   0.09   0.04   4.785  7.55    26.9   7.0   9.71
12/01/18 01:16:44  9.10   0.09   0.04   4.803  7.55    27.0   7.0   9.72
12/01/18 01:16:45  9.09   0.09   0.04   4.823  7.55    27.1   6.9   9.72
12/01/18 01:16:46  9.09   0.09   0.04   4.843  7.55    27.2   6.9   9.71
12/01/18 01:16:47  9.08   0.09   0.04   4.862  7.55    27.2   6.8   9.71
12/01/18 01:16:48  9.06   0.09   0.04   4.882  7.55    27.3   6.7   9.72
12/01/18 01:16:49  9.04   0.09   0.04   4.900  7.55    27.3   6.7   9.72
12/01/18 01:16:50  9.03   0.09   0.04   4.919  7.55    27.3   6.6   9.73
12/01/18 01:16:51  9.01   0.09   0.04   4.936  7.54    27.3   6.6   9.73
12/01/18 01:16:52  8.99   0.09   0.04   4.954  7.54    27.2   6.6   9.74
12/01/18 01:16:53  8.98   0.09   0.04   4.974  7.54    27.2   6.6   9.75
12/01/18 01:16:54  8.99   0.09   0.04   4.994  7.54    27.2   6.6   9.74
12/01/18 01:16:55  8.99   0.09   0.04   5.013  7.54    27.1   6.6   9.73
12/01/18 01:16:56  8.99   0.09   0.04   5.032  7.54    27.1   6.6   9.73
12/01/18 01:16:57  8.99   0.09   0.04   5.052  7.54    27.1   6.6   9.72
12/01/18 01:16:58  8.97   0.09   0.04   5.072  7.54    27.1   6.6   9.74
12/01/18 01:16:59  8.93   0.09   0.04   5.094  7.53    27.1   6.5   9.76
12/01/18 01:17:00  8.88   0.09   0.04   5.114  7.53    27.1   6.4   9.78
12/01/18 01:17:01  8.83   0.09   0.04   5.132  7.53    27.1   6.3   9.79
12/01/18 01:17:02  8.81   0.09   0.04   5.152  7.53    27.0   6.2   9.80
12/01/18 01:17:03  8.79   0.09   0.04   5.171  7.53    27.0   6.0   9.81
12/01/18 01:17:04  8.77   0.09   0.04   5.189  7.53    27.0   5.9   9.83
12/01/18 01:17:05  8.75   0.09   0.04   5.207  7.54    27.0   5.7   9.84
12/01/18 01:17:06  8.72   0.09   0.04   5.227  7.54    27.0   5.5   9.86
12/01/18 01:17:07  8.70   0.09   0.04   5.246  7.54    27.0   5.3   9.88
12/01/18 01:17:08  8.69   0.09   0.04   5.265  7.54    27.0   5.2   9.89
12/01/18 01:17:09  8.66   0.09   0.04   5.285  7.54    27.0   5.0   9.90
12/01/18 01:17:10  8.65   0.09   0.04   5.304  7.54    27.0   4.9   9.91
12/01/18 01:17:11  8.64   0.09   0.04   5.325  7.54    27.0   4.9   9.91
12/01/18 01:17:12  8.63   0.09   0.04   5.343  7.54    27.0   4.9   9.91
12/01/18 01:17:13  8.63   0.09   0.04   5.366  7.54    27.0   4.9   9.91
12/01/18 01:17:14  8.63   0.09   0.04   5.385  7.54    27.0   5.0   9.91
12/01/18 01:17:15  8.62   0.09   0.04   5.403  7.54    27.0   5.1   9.92
12/01/18 01:17:16  8.60   0.09   0.04   5.424  7.54    27.0   5.2   9.92
12/01/18 01:17:17  8.59   0.09   0.04   5.444  7.54    27.0   5.3   9.93
12/01/18 01:17:18  8.58   0.09   0.04   5.461  7.54    27.0   5.4   9.93
12/01/18 01:17:19  8.57   0.09   0.04   5.482  7.54    27.0   5.4   9.94
12/01/18 01:17:20  8.56   0.09   0.04   5.501  7.54    27.0   5.5   9.94
12/01/18 01:17:21  8.56   0.09   0.04   5.518  7.54    27.0   5.4   9.94
12/01/18 01:17:22  8.56   0.09   0.04   5.540  7.54    27.0   5.4   9.94
